Player,Team,Role,Nationality ,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR
Abdul Samad,SRH,All Rounder,Indian origin,23,4,8,105,2,52.5,11.355,24
Abhishek Nayar,CSK,Bowler,Indian origin,4,1,1,16,0,0,16,0
Abhishek Sharma,SRH,All Rounder,Indian origin,19,14,22,176,7,27.5,8.666666667,19
Adam Milne,CSK,All Rounder,Overseas,9,9,32,308,7,43.77333333,9.89,26.66666667
Adam Zampa,RCB,All Rounder,Overseas,14,14,47.5,370,21,26.28666667,7.776666667,19.5
Adil Rashid,PBKS,All Rounder,Overseas,1,1,3,35,0,0,11.66,0
Aiden Markram,SRH,All Rounder,Overseas,6,2,4,23,0,0,5.75,0
Ajinkya Rahane,KKR,All Rounder,Indian origin,8,1,1,5,1,5,5,6
Ajit Agarkar,KKR,Bowler,Indian origin,4,4,10,92,0,0,9.2,0
Akila Dananjaya,DC,All Rounder,Overseas,1,1,4,47,0,0,11.75,0
Alzarri Joseph,MI,All Rounder,Overseas,3,3,8.4,87,6,14.5,10.03,8.66
Amit Mishra,DC,Bowler,Indian origin,140,140,492.7,3603,153,25.02461538,7.380769231,19.99076923
Andre Russell,KKR,All Rounder,Overseas,80,72,193.3,1740,71,24.2725,9.3175,15.53625
Andrew Tye,LSG,All Rounder,Overseas,27,27,103,872,40,39.5175,9.45,23.125
Anrich Nortje,DC,All Rounder,Overseas,24,24,91.2,699,34,19.425,7.275,15.895
Anukul Roy,KKR,All Rounder,Indian origin,1,1,2,11,1,11,5.5,12
Arshdeep Singh,PBKS,Bowler,Indian origin,23,23,75.7,669,30,26.51666667,9.313333333,16.77333333
Ashish Reddy,SRH,All Rounder,Indian origin,4,2,3.5,39,1,39,10.17,23
Avesh Khan,LSG,Bowler,Indian origin,25,25,91,749,29,18.55,8.87,13.55
Axar Patel,GT,All Rounder,Indian origin,109,108,381.9,2762,95,34.21625,7.34375,27.63625
Basil Thampi,SRH,Bowler,Indian origin,5,5,14.1,160,6,34.4,11.355,18.1
Ben Cutting,LSG,All Rounder,Overseas,21,17,46.5,429,10,56.2,9.6,35.28
Ben Laughlin,LSG,All Rounder,Overseas,7,7,21,211,9,23.44,10.04,14
Ben Rohrer,PBKS,Bowler,Overseas,8,1,1,12,0,0,12,0
Ben Stokes,RR,All Rounder,Overseas,43,37,113.5,974,28,34.54,9.768,22.316
Bhuvneshwar Kumar,SRH,Bowler,Indian origin,121,121,451.9,3307,134,29.028,7.2,23.908
Billy Stanlake,SRH,All Rounder,Overseas,6,6,24,200,7,30.5,8.435,21.6
Bipul Sharma,CSK,All Rounder,Indian origin,7,7,16.2,129,3,43,7.89,32.66
Brad Hodge,RR,Bowler,Overseas,17,1,1,3,0,0,3,0
Cameron White,RCB,All Rounder,Overseas,13,2,2,16,1,16,8,12
Carlos Brathwaite,LSG,All Rounder,Overseas,16,16,42.2,375,13,28.055,9.51,17.0125
Chetan Sakariya,RR,Bowler,Indian origin,14,14,52,426,14,30.42,8.19,22.28
Chris Green,RCB,All Rounder,Overseas,1,1,2.5,24,0,0,8.47,0
Chris Jordan,RCB,All Rounder,Overseas,23,23,72.3,667,25,22.555,8.965,15.0675
Chris Morris,RCB,All Rounder,Overseas,81,81,286.4,2295,95,26.21,8.18,19.01
Chris Woakes,DC,All Rounder,Overseas,21,21,73.2,658,30,20.95,8.86,14.15666667
Colin de Grandhomme,LSG,All Rounder,Overseas,25,19,36,319,6,32.75,9.343333333,23
Colin Munro,LSG,All Rounder,Overseas,4,2,2,15,0,0,7.5,0
Corey Anderson,MI,All Rounder,Overseas,18,13,30.9,334,7,44.44333333,10.46,26.33
Dan Christian,LSG,All Rounder,Overseas,28,28,73.9,609,19,22.7725,8.61,16.14
Daniel Sams,MI,All Rounder,Overseas,5,5,18,153,1,19.5,8,18
David Hussey,CSK,Bowler,Overseas,12,4,11,91,0,0,8.27,0
David Warner,DC,All Rounder,Overseas,16,1,0.1,2,0,0,12,0
David Wiese,RCB,All Rounder,Overseas,15,14,46.2,402,16,11.03,10.29,7.935
David Willey,RCB,All Rounder,Overseas,3,3,10,95,2,47.5,9.5,30
Deepak Chahar,CSK,Bowler,Indian origin,63,63,220.4,1722,59,31.485,8.246666667,21.93833333
Deepak Hooda,LSG,All Rounder,Indian origin,80,28,54.1,458,9,38.76142857,8.922857143,27
Dhawal Kulkarni,MI,Bowler,Indian origin,67,67,217.4,1843,64,26.837,8.714,18.389
Dwayne Bravo,CSK,All Rounder,Overseas,131,129,429.8,3600,152,25.824,8.29,18.548
Dwayne Smith,CSK,All Rounder,Overseas,40,18,33,318,11,36.70666667,9.46,21.5
Fabian Allen,MI,All Rounder,Overseas,4,3,11,90,1,90,8.18,66
Glenn Maxwell,RCB,All Rounder,Overseas,86,49,98,835,22,43.51,8.9775,27.935
Glenn Phillips,RCB,Bowler,Overseas,3,2,2,20,1,20,10,12
Hanuma Vihari,SRH,All Rounder,Indian origin,19,6,7,47,1,19,7.665,18
Hardik Pandya,GT,All Rounder,Indian origin,66,60,144.1,1313,42,62.302,9.162,38.752
Harpreet Brar,PBKS,All Rounder,Indian origin,10,10,32,228,5,9.266666667,8.63,9.2
Harshal Patel,RCB,All Rounder,Indian origin,48,47,158,1355,65,43.13857143,9.28,26.71857143
Iqbal Abdulla,MI,Bowler,Indian origin,2,2,5,55,2,27.5,11,15
Ish Sodhi,RR,All Rounder,Overseas,8,8,30.1,202,9,21.875,7.6,19.175
Ishant Sharma,DC,Bowler,Indian origin,66,66,236.4,1974,51,47.27555556,8.872222222,30.72333333
Isuru Udana,RCB,All Rounder,Overseas,10,10,29,282,8,35.25,9.72,21.75
James Pattinson,MI,All Rounder,Overseas,10,10,35.3,320,11,29.09,9.01,19.36
Jason Behrendorff,MI,All Rounder,Overseas,5,5,19,165,5,33,8.68,22.8
Jason Holder,LSG,All Rounder,Overseas,26,26,95.5,786,35,40.514,8.81,28.186
Jasprit Bumrah,MI,Bowler,Indian origin,106,106,403,2995,130,30.19444444,8.08,21.97333333
Javon Searles,MI,All Rounder,Overseas,4,3,7,89,2,44.5,12.71,21
Jayant Yadav,DC,Bowler,Indian origin,19,19,61,419,8,39.16666667,6.568333333,34.5
Jaydev Unadkat,LSG,Bowler,Indian origin,76,76,267,2353,75,25.485,9.807,17.218
Jimmy Neesham,MI,All Rounder,Overseas,12,12,33,305,8,59.4,9.1,36.6
Jofra Archer,RR,All Rounder,Overseas,35,35,136.9,981,46,22.12,7.223333333,18.56
John Hastings,KKR,All Rounder,Overseas,2,2,6.4,37,2,18.5,5.55,20
Josh Hazlewood,MI,All Rounder,Overseas,12,12,45,357,12,45.315,7.385,39.545
Kagiso Rabada,PBKS,All Rounder,Overseas,50,50,189.6,1560,76,23.6775,8.2775,17.035
Kamlesh Nagarkoti,LSG,Bowler,Indian origin,11,10,28,256,5,23.1,10.69,15.6
Kane Richardson,RCB,All Rounder,Overseas,15,15,55.5,472,19,30.45,8.88,20.875
Kane Williamson,SRH,All Rounder,Overseas,18,2,3,31,0,0,9.5,0
Karn Sharma,MI,Bowler,Indian origin,53,52,162.3,1278,49,21.52428571,8.732857143,15.35142857
Kartik Tyagi,LSG,Bowler,Indian origin,14,14,52.1,491,13,35.885,9.23,23.22
Khaleel Ahmed,DC,Bowler,Indian origin,24,24,89.9,786,32,22.2875,9.605,15.6625
KM Asif,SRH,Bowler,Indian origin,2,2,6,75,3,25,12.5,12
Krishnappa Gowtham,CSK,All Rounder,Indian origin,24,24,68,562,13,92.78666667,8.866666667,63.27
Krunal Pandya,LSG,All Rounder,Indian origin,84,81,240.4,1773,51,39.08833333,7.381666667,31.36666667
Kuldeep Yadav,DC,All Rounder,Indian origin,45,43,149.2,1236,40,46.614,8.216,34.422
Kulwant Khejroliya,PBKS,Bowler,Indian origin,5,5,15.5,154,3,50.25,9.635,31.25
Kyle Jamieson,RCB,All Rounder,Overseas,9,9,28,269,9,29.88,9.6,18.66
Lakshmipathy Balaji,CSK,Bowler,Indian origin,9,9,34,299,12,24.91,8.79,17
Lalit Yadav,DC,Bowler,Indian origin,7,5,14,101,4,25.25,7.21,21
Liam Livingstone,PBKS,All Rounder,Overseas,4,1,1,13,0,0,13,0
Liam Plunkett,MI,All Rounder,Overseas,7,7,25,225,4,56.25,9,37.5
Lockie Ferguson,GT,All Rounder,Overseas,22,22,79.5,648,24,41.0975,8.2075,27.6675
Lungi Ngidi,CSK,All Rounder,Overseas,14,14,54,448,25,19.24333333,8.946666667,13.08
Mahipal Lomror,RR,All Rounder,Indian origin,6,6,10,74,1,23.5,7.855,21
Mandeep Singh,PBKS,Bowler,Indian origin,29,3,5,49,1,11.5,10.33,9
Manoj Tiwary,KKR,Bowler,Indian origin,5,1,1,10,0,0,10,0
Manpreet Gony,PBKS,Bowler,Indian origin,1,1,2,32,0,0,16,0
Marco Jansen,SRH,All Rounder,Overseas,2,2,6,45,2,22.5,7.5,18
Marcus Stoinis,LSG,All Rounder,Overseas,56,45,101.2,969,30,45.335,9.75,27.99
Mark Wood,LSG,All Rounder,Overseas,1,1,4,49,0,0,12.25,0
Marlon Samuels,PBKS,All Rounder,Overseas,5,2,3,34,0,0,11.33,0
Matt Henry,MI,All Rounder,Overseas,2,2,5,71,1,71,14.2,30
Mayank Markande,PBKS,Bowler,Indian origin,18,18,53,453,16,27.84333333,8.95,17.86666667
Michael Neser,MI,All Rounder,Overseas,1,1,4,62,0,0,15.5,0
Mitchell Marsh,MI,All Rounder,Overseas,13,11,28.6,233,11,12.41666667,7.803333333,10.02333333
Mitchell McClenaghan,MI,All Rounder,Overseas,56,56,212.2,1803,71,28.96,8.388,20.934
Mitchell Santner,CSK,All Rounder,Overseas,6,6,21,147,6,25,7.14,21
Mitchell Starc,RCB,All Rounder,Overseas,27,26,96.4,693,34,21.63,7.125,17.95
Moeen Ali,CSK,All Rounder,Overseas,23,18,43.3,300,10,33.72,7.37,27.22
Mohammad Nabi,SRH,All Rounder,Overseas,17,17,57.1,408,13,28.65,7.564,21.774
Mohammad Shami,GT,Bowler,Indian origin,77,77,277.4,2402,79,43.07125,8.9025,28.81875
Mohammed Siraj,RCB,Bowler,Indian origin,50,50,171.2,1437,50,29.304,8.634,20.694
Mohit Sharma,PBKS,Bowler,Indian origin,86,86,291,2470,92,31.39125,8.96375,20.56625
Moises Henriques,SRH,All Rounder,Overseas,47,47,121,962,32,66.438,7.746,42.726
Mujeeb Ur Rahman,GT,All Rounder,Overseas,19,19,72.2,592,19,24.7,8.665,16.9275
Munaf Patel,CSK,Bowler,Indian origin,2,2,7,57,1,57,8.14,42
Murali Vijay,CSK,Bowler,Indian origin,25,3,5,36,0,0,7.5,0
Murugan Ashwin,CSK,Bowler,Indian origin,34,34,111.6,881,26,44.716,7.958,32.824
Mustafizur Rahman,DC,All Rounder,Overseas,22,22,81.2,700,21,21.33,9.84,15.26
Nathan Coulter-Nile,MI,All Rounder,Overseas,38,37,139.5,1052,48,25.20571429,7.351428571,20.38142857
Nathan Ellis,MI,All Rounder,Overseas,3,3,12,98,1,98,8.16,72
Navdeep Saini,DC,Bowler,Indian origin,28,28,97.4,828,17,33.08333333,9.853333333,23.94666667
Nitish Rana,KKR,Bowler,Indian origin,64,16,19.1,154,7,7,7.326,5.05
Oshane Thomas,RR,All Rounder,Overseas,4,4,10,79,5,15.8,7.9,12
Pat Cummins,KKR,All Rounder,Overseas,37,37,138.6,1145,38,42.254,8.342,29.268
Pawan Negi,CSK,Bowler,Indian origin,42,36,97.2,787,27,31.61571429,8.991428571,20.34142857
Piyush Chawla,CSK,Bowler,Indian origin,139,138,458.5,3657,129,29.79333333,8.188333333,21.84833333
Pradeep Sangwan,DC,Bowler,Indian origin,4,4,8,100,0,0,12.5,0
Prasidh Krishna,KKR,Bowler,Indian origin,34,34,123.8,1152,30,47.625,9.275,30.7
Pravin Dubey,RR,Bowler,Indian origin,3,3,8,72,0,0,9,0
Pravin Tambe,MI,Bowler,Indian origin,30,30,99,765,27,30.11,8.003333333,22.64666667
Rahul Chahar,MI,Bowler,Indian origin,42,41,150,1117,43,26.5025,7.595,20.9325
Rahul Tewatia,GT,All Rounder,Indian origin,48,45,132.2,1020,32,28.82285714,7.581428571,22.76428571
Rahul Tripathi,SRH,Bowler,Indian origin,14,1,1,12,0,0,12,0
Rajat Bhatia,RR,Bowler,Indian origin,30,30,88.5,670,25,27.08666667,7.62,21.3
Rashid Khan,GT,All Rounder,Overseas,76,76,302,1912,93,20.61,6.338,19.5
Ravi Bishnoi,LSG,Bowler,Indian origin,23,23,86,598,24,24.915,6.855,21.5
Ravichandran Ashwin,RR,Bowler,Indian origin,167,164,581.8,4032,145,27.69166667,6.633333333,24.24166667
Ravindra Jadeja,CSK,All Rounder,Indian origin,200,171,500.3,3816,127,30.98923077,7.773076923,23.94538462
Riley Meredith,MI,All Rounder,Overseas,5,5,17,169,4,42.25,9.94,25.5
Rishi Dhawan,PBKS,Bowler,Indian origin,18,18,59.2,475,14,69.035,8.435,46.92
Riyan Parag,RR,Bowler,Indian origin,30,15,22.1,221,3,44.5,11.32333333,26.33333333
Rohit Sharma,MI,Bowler,Indian origin,125,32,56.3,453,15,17.76625,9.35625,13.9425
Sachin Baby,RR,Bowler,Indian origin,11,2,1.4,8,2,4,4.8,5
Sam Curran,CSK,All Rounder,Overseas,32,31,108,995,32,31.73333333,9.3,20.39333333
Samuel Badree,MI,All Rounder,Overseas,1,1,4,34,0,0,8.5,0
Sandeep Sharma,PBKS,Bowler,Indian origin,99,99,365.8,2849,112,28.96777778,7.831111111,22
Sarfaraz Khan,RCB,Bowler,Indian origin,8,1,0.2,6,0,0,18,0
Shahbaz Ahmed,RCB,Bowler,Indian origin,13,8,20,136,9,17.57,6.95,15
Shahbaz Nadeem,SRH,Bowler,Indian origin,55,53,171.5,1324,36,35.69222222,8.127777778,25.34
Shakib Al Hasan,KKR,All Rounder,Overseas,63,62,216.8,1644,51,31.55375,8.05375,24.41125
Shane Watson,RR,All Rounder,Overseas,31,27,84.3,736,26,33.04,8.77,22.475
Shardul Thakur,CSK,Bowler,Indian origin,61,60,209.2,1867,67,30.21166667,9.466666667,19.21666667
Sheldon Cottrell,PBKS,All Rounder,Overseas,6,6,20,176,6,29.33,8.8,20
Shikhar Dhawan,PBKS,Bowler,Indian origin,29,6,8,66,4,14.665,7.33,12
Shivam Dube,RCB,Bowler,Indian origin,24,11,15.4,130,4,6.083333333,7.57,4.5
Shivam Mavi,KKR,Bowler,Indian origin,26,26,86.1,715,25,32.91,8.343333333,22.82333333
Shreyas Gopal,RR,Bowler,Indian origin,44,43,141.1,1135,42,17.41666667,8.663333333,12.38333333
Siddarth Kaul,PBKS,Bowler,Indian origin,54,54,196.9,1696,58,36.84285714,9.621428571,24.09714286
Sreenath Aravind,CSK,Bowler,Indian origin,13,13,46,368,21,17.52,8,13.14
Steve Smith,RR,All Rounder,Overseas,15,1,0.2,5,0,0,15,0
Stuart Binny,RR,Bowler,Indian origin,16,9,13,94,5,28.25,7.305,25.5
Sunil Narine,KKR,All Rounder,Overseas,119,118,460.7,3184,119,31.40666667,7.004444444,26.29222222
Suresh Raina,CSK,Bowler,Indian origin,63,16,35,283,3,37.125,7.6125,27
Suryakumar Yadav,MI,Bowler,Indian origin,16,1,1,8,0,0,8,0
T Natarajan,SRH,Bowler,Indian origin,24,24,82.9,688,20,41.16666667,8.57,28.52
Tabraiz Shamsi,RR,All Rounder,Overseas,5,5,20,181,3,24.5,8.84,16
Tillakaratne Dilshan,MI,All Rounder,Overseas,5,1,1,10,0,0,10,0
Tim Southee,KKR,All Rounder,Overseas,38,38,141,1222,27,44.51,9.098571429,27.06571429
Tom Curran,MI,All Rounder,Overseas,13,13,39.4,430,13,38.33,10.73666667,21.16333333
Trent Boult,MI,All Rounder,Overseas,62,62,235.3,1983,76,30.91571429,8.644285714,21.29428571
Tushar Deshpande,MI,Bowler,Indian origin,5,5,17,192,3,64,11.29,34
Umesh Yadav,DC,Bowler,Indian origin,97,96,334.4,2942,94,33.62111111,9.151111111,22.49444444
Umran Malik,SRH,Bowler,Indian origin,3,3,12,96,2,48,8,36
Varun Aaron,RCB,Bowler,Indian origin,30,29,93.6,849,30,25.992,9.584,16.71
Varun Chakaravarthy,KKR,Bowler,Indian origin,31,31,123,839,36,26.94,8.36,19.67
Venkatesh Iyer,KKR,Bowler,Indian origin,10,4,8.3,69,3,23,8.11,17
Vijay Shankar,SRH,Bowler,Indian origin,43,20,38.1,329,9,36.366,10.932,23.95
Vinay Kumar,RCB,Bowler,Indian origin,6,6,15.5,160,7,23.11,11.46333333,12.83333333
Virat Kohli,RCB,All Rounder,Indian origin,109,26,41.1,368,4,14.28571429,9.704285714,10.57142857
Wanindu Hasaranga,GT,All Rounder,Overseas,2,2,6,60,0,0,10,0
Washington Sundar,RCB,Bowler,Indian origin,42,41,125,867,27,33.24,7.462,27.1
Wayne Parnell,MI,All Rounder,Overseas,26,26,94.8,701,26,27.3125,7.4925,22.435
Yuzvendra Chahal,RR,Bowler,Indian origin,114,113,407.2,3097,139,20.53444444,7.708888889,16.42444444